time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.28850436134e-06,5.49209092617e-08,10.0050456474,6.28276778148,0.000826956103751,0.0,-9.9191599981e-05,-1.48069898379e-05,0.168177642446,-0.0269120095447,0.0325296189075,0.0,456.85045008709136,459.43634294868104,458.9669993367925,456.8265472581218
0.12000000000000001,-3.24131782898e-05,-1.56357812685e-05,10.0181011817,6.28111778041,0.00220913807657,0.0,-0.0011263708115,-0.000674408128069,0.266987789946,-0.028702567923,-0.0139553619992,0.0,437.92033194373346,434.037216569896,437.2194182220299,437.07003762604006
0.18,-0.000147434775272,-0.000111015441852,10.0394987239,6.27945830161,0.00149122630016,0.0,-0.00261943180005,-0.00269701694336,0.44620980316,-0.0256469219641,-0.00825563748334,0.0,460.6388971740081,461.0894539654255,461.91928052918564,462.15998184654853
0.23999999999999996,-0.000332467488964,-0.00035249797664,10.0684780501,6.27796418435,0.00107518265455,0.0,-0.00350370491426,-0.00550098543011,0.519736094725,-0.0234523471489,-0.00441383175457,0.0,428.84528064495686,429.1715407633388,428.18403442612987,428.37053815824754
0.3,-0.000570509887789,-0.000830753025205,10.1090696737,6.27610122937,0.00040191388439,0.0,-0.00437578417207,-0.010647922808,0.833141872843,-0.0540312282288,-0.0305110220249,0.0,501.15664363261084,499.25653412851824,501.6643055160056,499.43893495389136
0.36000000000000004,-0.000834249061608,-0.00161771321852,10.1606665974,6.27281206841,6.28172488418,0.0,-0.00423987845306,-0.0158943804274,0.886712617246,-0.0564434382511,-0.032116067076,0.0,422.2631434764477,422.1242910940725,423.19197112009914,422.982130458318
0.4200000000000001,-0.00105541222489,-0.00277258428336,10.2145259333,6.26971101114,6.27986868158,0.0,-0.00296126947413,-0.022893245177,0.908577522204,-0.0435537621887,-0.0286769886971,0.0,412.3165206262334,412.61979132992957,411.3488748408155,412.4865817428275
0.48000000000000015,-0.00112623629094,-0.00455610056554,10.2807415692,6.26679461342,6.27788400394,0.0,0.000864829469975,-0.0369490187525,1.29824501405,-0.0613465617151,-0.0437783553554,0.0,522.2822022539967,521.2277349002951,522.1746608993838,520.9309678824196
0.5400000000000001,-0.000946041007973,-0.00715112072986,10.3631443891,6.26344379936,6.27525692898,0.0,0.00542809249201,-0.0499312997725,1.44832860743,-0.0466512052518,-0.0437970367539,0.0,454.51015161872556,454.5076224972399,453.33820776116636,454.5152448257223
0.6000000000000002,-0.000397590380276,-0.0106845468697,10.4589088994,6.26043504456,6.27295793505,0.0,0.0131702971928,-0.0682199436841,1.74340864084,-0.0582546152009,-0.029146648012,0.0,496.24361230565887,497.31716628760694,497.65577012973756,496.80446410080964
0.6600000000000003,0.000645147186472,-0.0153372245786,10.5697713414,6.25713298907,6.27100385751,0.0,0.0218013817539,-0.0872618238877,1.95166143165,-0.0492687903318,-0.0404793420621,0.0,472.03322556479446,471.1575765536492,473.97656643584907,474.66475369096577
0.7200000000000003,0.00222430235651,-0.0211440116445,10.69067285,6.25407703158,6.26867937295,0.0,0.0310858836488,-0.106610000993,2.07815429132,-0.0544858508852,-0.0354750762439,0.0,448.6375878712256,449.04296801116516,449.37783235865936,448.953127774067
0.7800000000000004,0.00439752528504,-0.0281548010865,10.8183655122,6.25081394191,6.26622779108,0.0,0.0415825738227,-0.1274105876,2.17806734274,-0.0541836217919,-0.0547078220758,0.0,442.2080087845667,440.6199556769911,440.9638783755503,440.9868462815337
0.8400000000000004,0.00737283545933,-0.0367011698592,10.9587256367,6.24717325905,6.26300426513,0.0,0.0580216340265,-0.157904687933,2.49993126328,-0.0786463923802,-0.0518303746714,0.0,507.17321147981886,507.37830640215765,507.30456687034075,505.5427482446574
0.9000000000000005,0.0113360206641,-0.0470315268581,11.1142565646,6.24243517047,6.25975075548,0.0,0.0744395437193,-0.186966063408,2.68398743847,-0.0796191358185,-0.0595033691062,0.0,469.0380464605125,468.43997002083074,468.9724257210428,468.89223196264294
0.9600000000000005,0.0163178797961,-0.0591400557901,11.2790219355,6.23808214838,6.25567084441,0.0,0.0920072166415,-0.217117692203,2.80786066098,-0.0612359080349,-0.0961935362458,0.0,453.1910509187418,450.2283366428794,450.59942999565664,452.07895153984515
1.0200000000000005,0.0224501957542,-0.0731469040881,11.4512119684,6.23428682801,6.24968922843,0.0,0.113013540575,-0.250156102685,2.93145546796,-0.0676332423996,-0.107812555811,0.0,452.56102779318303,451.6163740024887,452.4613598499506,451.94318212450554
1.0800000000000005,0.0299323417414,-0.0891594284527,11.6296229779,6.23040352644,6.24286203701,0.0,0.137042395482,-0.283977983958,3.01530928703,-0.0594581753593,-0.129720437998,0.0,440.52468770586523,438.69732030059595,440.985336888554,441.656976286578
1.1400000000000006,0.0391282942659,-0.107443345031,11.8161656939,6.22742464696,6.23567468291,0.0,0.170322595427,-0.325827585839,3.20220910501,-0.035013152433,-0.105025200098,0.0,470.583380630688,472.478692061151,472.70695416066627,474.5854015657081
1.2000000000000006,0.0501693826222,-0.127940591258,12.0074806684,6.22509341438,6.22928667789,0.0,0.198245274961,-0.357600959322,3.17498595094,-0.0479216330236,-0.109515274996,0.0,405.85437931738875,405.4400190381471,406.14460642537773,404.98419756475204
1.2600000000000007,0.0631087971677,-0.150507808558,12.1992317316,6.22216447686,6.22305499345,0.0,0.233657978236,-0.394902657732,3.21653677244,-0.0506657299537,-0.0944527782643,0.0,427.7632797954042,429.03409203746907,428.9796147312179,428.7449613740964
